Comment,Designator,Footprint,LCSC
LED,"D1,D2,D3",LITE_ON_LTST_C230TBKT-LED_1206_3216Metric_ReverseMount,C125109
100nF,"C1,C2,C3",C_0603_1608Metric,C14663
Conn_01x03_Male,"J1,J2,J3,J4,J5,J6",Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,C22075
100,"R1,R3,R5",R_0603_1608Metric,C22775
330,"R2,R4,R6",R_0603_1608Metric,C23138
5.1k,"R7,R8",R_0603_1608Metric,C23186
USB_C_6pin,P1,USB_C_Receptacle_Korean_Hroparts-31-M-17,C2764612
Battery_Cell,BT1,BatteryHolder_QJ_BS6-CR2032,C70377
SW_SPDT,SW1,SW_SPDT_PCM12,
SW_SPDT,SW3,SW_SPDT_PCM12,
SW_SPDT,SW2,SW_SPDT_PCM12,
