Designator,Mid X,Mid Y,Rotation,Layer
C1,140.2,-91.6,180.0,top
C2,137.6,-118.4,0.0,top
D1,129.0,-95.0,90.0,top
D2,168.0,-115.0,90.0,top
D3,168.0,-95.0,90.0,top
D4,129.0,-115.0,90.0,top
D5,140.0,-110.6,180.0,top
D6,140.0,-99.2,180.0,top
J1,120.75,-95.0,270.0,top
J2,175.25,-115.0,90.0,top
J3,120.75,-115.0,270.0,top
J4,175.25,-95.0,90.0,top
R1,132.0,-94.2,270.0,top
R2,165.2,-115.0,90.0,top
R3,165.0,-95.0,90.0,top
R4,132.4,-114.8,270.0,top
R5,138.6,-108.2,180.0,top
R6,139.2,-102.8,180.0,top
U1,141.0,-95.0,180.0,top
U2,141.0,-115.0,180.0,top
